id_menu	id_menu_parent	libelle_menu	niveau	position	largeur	hauteur	lien_menu	droit_affichage	droit_visible	is_profile_ref_admin	is_profile_ref_user	is_menu_defaut	deploiement	liste_action	id_page	menu_client_default
menu.02.0002.02	menu.02.0002	Alarm History	2	2	110	20	/reporting/intranet/php/affichage/alarm_index.php?id_selecteur=100&page=9&creator=alarm&selecteur_scenario=normal&mode=overtime&mode_alarme=history&sous_mode=condense&id_menu_encours=777	astellia			1			0-102-103-104		
menu.02.0002.03	menu.02.0002	Top/Worst Lists	2	3	110	20	/reporting/intranet/php/affichage/alarm_index.php?page=9&creator=alarm&selecteur_scenario=normal&mode=overtime&mode_alarme=twcl&id_menu_encours=196	astellia			1			0-102-103-104		
menu.02.0003	0	INVESTIGATION	1	4	90	20		astellia			1					
menu.02.0003.05	menu.02.0003	Query Builder	2	1	110	20	/querybuilder/index.php	astellia			1					
menu.02.0003.01	menu.02.0003	Query Builder (old)	2	2	110	20	/builder_report/intranet/php/affichage/builder_report_index.php	astellia			1					
menu.02.0003.02	menu.02.0003	Investigation Dashboard	2	3	130	20	/dashboard_investigation/index.php	astellia			1					
menu.02.0003.03	menu.02.0003	Dashboard Builder	2	4	130	20	/builder/dashboard.php	astellia			1					
menu.02.0003.04	menu.02.0003	Graph Builder	2	5	130	20	/builder/graph.php	astellia			1					
menu.0077.lte_cell	0	LTE Cell	1	1	250	20		customisateur	0		1					0
menu.dshd.0077.01.overview	menu.0077.lte_cell	Overview	2	1	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0077.01.overview	0
menu.dshd.0077.01.overview.01	menu.dshd.0077.01.overview	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0077.01.overview&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0077.01.overview	0
menu.dshd.0077.01.overview.02	menu.dshd.0077.01.overview	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0077.01.overview&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0077.01.overview	0
